     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
    AppleMediaServices.MetricsConsumerIDRotateActor
    AppleMediaServices.MockNetworkProxy
    AppleMediaServices.RemoteSignInTask
    AppleMediaServicesKitInternal.MediaTokenStore
    AskToCore.ATSignificantAppUpdateMetadata
    AskToCore.MessageComposeRequest
    AskToCore.SandboxExtensionToken
    AskToCore.SendRequestPayload
    AskToCore.SendableMessageComposeRequest
    AskToCore.SendableSendRequestPayload
    AuthenticationServices.ASAccountUpgradeInformationProviderImplementation
    AuthenticationServices.ASAuthorizationAccountCreationPlatformPublicKeyCredentialRequest
    AuthenticationServicesCore.ASCABLECryptographyManager
    AuthenticationServicesCore.ASCCredentialRequestTestOptions
    AuthenticationServicesCore.ASCPasswordSignInEvent
    AuthenticationServicesCore.ASPasswordSignInEventCollector
    AuthorizationTokenRequestParameters
    BCECDHKeyUtils
    BCECDHManager
    BENetworkingProcess
    BETextDocumentRequest
    BGAppRefreshTaskRequest
    BGContinuedProcessingTaskRequest
    BGFastPassSystemTaskRequest
    BGHealthResearchTaskRequest
    BGNonRepeatingSystemTaskRequest
    BGProcessingTaskRequest
    BGRepeatingSystemTaskRequest
    BGSystemTaskRequest
    BGTaskRequest
    BKSHIDEventDeferringSelectionChangeRequest
    BKSHIDEventDeferringToken
    BKSHIDHapticFeedbackRequest
    BKSMutableHIDEventDeferringSelectionChangeRequest
    BKSMutableHIDHapticFeedbackRequest
    BKSTouchAnnotation
    BKSTouchAnnotationController
    BLSBacklightChangeRequest
    BLSDesiredFidelityRequest
    BLSDisableCrownRotateToWakeAttribute
    BLSFrameSpecifiersRequest
    BLSFrameSpecifiersRequestAction
    BLSFrameSpecifiersRequestResponse
    BLSIgnoreCoverGestureAttribute
    BLSIgnoreWhenBacklightInactivatesAttribute
    BLSRequestGlobalUnrestrictedFramerateAttribute
    BLSRequestLiveUpdatingAttribute
    BLSRequestUnrestrictedFramerateAttribute
    BMASRContextualReplayRecordRequestMetadata
    BMASRRequestMetricsRecord
    BMCoreDuetDiscoverabilitySignalsSource
    BMDSLTumblingWindowAssigner
    BMDSLWindowAssigner
    BMDictationUserEditRequestMetadata
    BMDiscoverabilitySignalEvent
    BMDiscoverabilitySignalStream
    BMDiscoverabilitySignals
    BMFamilyScreenTimeRequest
    BMKeyboardTokenFrequency
    BMKeyboardTokenFrequencyTokenFrequency
    BMLocationSignificantVisit
    BMMailSearchUIEventBucketizedToken
    BMMailSearchUIEventToken
    BMMessagesSearchEventToken
    BMModelCatalogExplicitRequests
    BMPBMailContentHeaderEntry
    BMPBScreenTimeRequestEvent
    BMPostSiriEngagementEventSignal
    BMPostSiriEngagementEventSignalContent
    BMPostSiriEngagementEventSignalDeltaEvent
    BMPrivateCloudComputeRequestLog
    BMPrivateCloudComputeRequestLogAssetMetadata
    BMPrivateCloudComputeRequestLogAttestation
    BMProactiveHarvestingMailHeaderEntry
    BMSafariBrowsingAssistantServerRequestContext
    BMSafariBrowsingAssistantServerRequestContextEnded
    BMSafariBrowsingAssistantServerRequestContextFailed
    BMSafariBrowsingAssistantServerRequestContextStarted
    BMScreenTimeRequestEvent
    BMScreenTimeRequestStream
    BMSiriMusicInferenceTrainingDependentSignals
    BMSiriMusicInferenceTrainingIndependentSignals
    BMSiriPostSiriEngagementSignal
    BMSiriPostSiriEngagementSignalContent
    BMSiriPostSiriEngagementSignalDeltaEvent
    BMSiriRequestContext
    BMSiriRequestContextAddress
    BMSiriRequestContextContentRestriction
    BMSiriRequestContextMeCard
    BMSiriRequestContextUser
    BMSiriRequestCounts
    BMSiriRequestCountsMetadata
    BMSiriRequestCountsStatistics
    BMSpringBoardDominoStackRotation
    BMVisualIntelligenceCameraLookupEventRequestMetadata
    BMVisualIntelligenceCameraLookupEventServerRequestContext
    BMWritingToolsRequests
    BPSCountWindowAssigner
    BPSSessionWindowAssigner
    BPSSlidingWindowAssigner
    BPSTumblingWindowAssigner
    BPushBaseRequest
    BPushBindRequest
    BPushClearBadgeRequest
    BPushDelTagRequest
    BPushExtentionsStatsSwitchRequest
    BPushFrequencyGetRequest
    BPushFrequencySetRequest
    BPushListTagRequest
    BPushMsgSettingRequest
    BPushNotifyClickRequest
    BPushRequest
    BPushSetTagRequest
    BPushUnbindRequest
    BPushUniformDataGetRequest
    BPushUniformDataSetRequest
    BPushUpdateConfRequest
    BRAccountTokenWillChangeObserver
    BRFetchQuotaOperation
    BRLTTokenRange
    BRRFAEmailSettingRequest
    BRRFAUserNotificationsRequest
    BRShareCopyAccessTokenOperation
    BRSharingCopyShareTokenOperation
    BRSharingCopyShortTokenOperation
    BSAtomicSignal
    BSAuditToken
    BSBlockSentinelSignalContext
    BTAirPodsControlRequest
    BTAudioRoutingRequest
    BWColorConstancyProcessorControllerRequest
    BWDeepFusionProcessorRequest
    BWDeepZoomProcessorRequest
    BWDeferredCaptureControllerRequest
    BWDeferredProcessorControllerRequest
    BWDepthRotatorNode
    BWInferenceEngineControllerRequest
    BWIntelligentDistortionCorrectionProcessorRequest
    BWJasperColorStillsExecutorRequest
    BWJasperDisparityProcessorRequest
    BWLearnedNRRequest
    BWMetadataTimeMachineMetadataRequest
    BWMetadataTimeMachineRequest
    BWMetadataTimeMachineWaitRequest
    BWNRFProcessorRequest
    BWPendingIrisRecordingRequest
    BWPhotoEncoderControllerRequest
    BWRedEyeReductionRequest
    BWSWFRProcessorControllerRequest
    BWScalerProcessorControllerRequest
    BWSmartStyleRenderingProcessorControllerRequest
    BWSoftISPProcessorControllerRequest
    BWStereoDisparityRequest
    BWStillImageProcessorControllerRequest
    BWUBNRFProcessorRequest
    BWUBProcessorRequest
    BWVisionRequestInferenceCreator
    BWVisionRequestInferenceDescriptor
    BYAnalyticsEventAppleIDSignIn
    BYCellularNetworkInformation
    BYNetworkMonitor
    BYSilentLoginUpgradeGuarantor
    BesOTAManager
    BesOTAV3Manager
    BesOtaCMD
    BesOtaConstants
    BesOtaService
    BesOtaSetting
    BesV3OTACMD
    BesV3OTASetting
    BesV3OtaService
    BlastDoorAPSQuickRelayPluginRequest
    BlastDoorAPSQuickRelaySelfAllocToken
    BlastDoorAPSUserPayloadHttpHeaders
    BlastDoorBackgroundRequestInfo
    BlastDoorMarkUnreadRequest
    BlastDoorRelayReachabilityRequest
    BusinessServices.NetworkConnectivityTrampoline
    BusinessServices.NetworkProvider
    BusinessServices.NetworkReachabilityProvider
    BusinessServices.RCSChatBotNetworkProvider
    C2CallstackAnnotations
    C2MPNetworkEvent
    C2MetricRequestOptions
    C2MultipeerChunkDataRequest
    C2MultipeerDiscoveryRequest
    C2MultipeerNetworkConnection
    C2NetworkingDelegateURLSession
    C2NetworkingDelegateURLSessionDataTask
    C2NetworkingResponse
    C2RequestManager
    C2RequestOptions
    C2WarmRequest
    CAARSchemaCAARRequestContext
    CAARSchemaCAARRequestFailed
    CAARSchemaCAARRequestReceived
    CADAuditTokenTCCPermissionChecker
    CADPKeyExchangeRequest
    CADPLaunchApplicationRequest
    CADPLocalNetworkId
    CADPLocalNetworkPermissionInfo
    CADPLogRequest
    CADPMDNSRequestStatistics
    CADPNetworkSwitchInfo
    CADSequenceToken
    CAFAutomakerRequestContent
    CAFDisableNotificationRequest
    CAFEnableNotificationRequest
    CAFGroupDisableNotificationRequest
    CAFGroupEnableNotificationRequest
    CAFGroupReadRequest
    CAFGroupRequest
    CAFGroupWriteRequest
    CAFReadRequest
    CAFRequest
    CAFRequestContent
    CAFRequestKey
    CAFRequestTemporaryContent
    CAFRotationalSpeedStateCharacteristic
    CAFTestAccRequestNoParamsControl
    CAFTestAccRequestWithReqAndResParamsControl
    CAFTestAccRequestWithReqParamsControl
    CAFTestAccRequestWithResParamsControl
    CAFTestDevRequestNoParamsControl
    CAFTestDevRequestWithReqAndResParamsControl
    CAFTestDevRequestWithReqParamsControl
    CAFTestDevRequestWithResParamsControl
    CAFTurnSignalCharacteristic
    CAFTurnSignals
    CAFUnitRotationalSpeed
    CAFWriteRequest
    CAHostingToken
    CAMSchemaCAMRequestReceived
    CARSessionRequestAgent
    CARSessionRequestBonjourHost
    CARSessionRequestClient
    CARSessionRequestDisplayConfiguration
    CARSessionRequestHandlerProxy
    CARSessionRequestHost
    CARSessionScreenBorrowToken
    CASDFGeneratorRequest
    CATActiveIDSServiceConnectionContentRequestMissingData
    CATIDSServiceConnectionInvitationRequest
    CATNetworkPowerPrimitivesBackedAssertionProvider
    CATNetworkReachability
    CATTaskRequest
    CBATTRequest
    CBBootArgsConfigProvider
    CBDeviceRequest
    CBReadRequest
    CBUserNotificationRequest
    CBWriteRequest
    CCAppCustomPhotoTagContent
    CCAppCustomPhotoTagMetaContent
    CCSignificantLocationAddress
    CCSignificantLocationContent
    CCSignificantLocationMetaContent
    CCSignificantLocationSubPremise
    CCSpotlightEmailHeader
    CCSpotlightEmailHeadersEntry
    CCSpotlightMessageAttributesEmailHeadersEntry
    CCToolKitToolRuntimeRequirementAvailabilityAnnotation
    CCToolKitToolToolInvocationSignature
    CCToolKitToolToolInvocationSignatureListOfRelations
    CCToolKitToolToolInvocationSignatureValueConstraintsEntry
    CEMClassroomRequestMirroringCommand
    CEMClassroomRequestMirroringCommand_Status
    CEMNetwork8021XBuiltinWirelessDeclaration
    CEMNetwork8021XBuiltinWirelessDeclaration_Status
    CEMNetwork8021XFirstActiveEthernetDeclaration
    CEMNetwork8021XFirstActiveEthernetDeclaration_Status
    CEMNetwork8021XFirstEthernetDeclaration
    CEMNetwork8021XFirstEthernetDeclaration_Status
    CEMNetwork8021XGlobalEthernetDeclaration
    CEMNetwork8021XGlobalEthernetDeclaration_Status
    CEMNetwork8021XSecondActiveEthernetDeclaration
    CEMNetwork8021XSecondActiveEthernetDeclaration_Status
    CEMNetwork8021XSecondEthernetDeclaration
    CEMNetwork8021XSecondEthernetDeclaration_Status
    CEMNetwork8021XThirdActiveEthernetDeclaration
    CEMNetwork8021XThirdActiveEthernetDeclaration_Status
    CEMNetwork8021XThirdEthernetDeclaration
    CEMNetwork8021XThirdEthernetDeclaration_Status
    CEMNetworkBluetoothDeclaration
    CEMNetworkBluetoothDeclaration_Status
    CEMNetworkCellularDeclaration
    CEMNetworkCellularDeclaration_APNsItem
    CEMNetworkCellularDeclaration_AttachAPN
    CEMNetworkCellularDeclaration_Status
    CEMNetworkCellularSettingsDeclaration
    CEMNetworkCellularSettingsDeclaration_Status
    CEMNetworkContentCachingDeclaration
    CEMNetworkContentCachingDeclaration_Ranges
    CEMNetworkContentCachingDeclaration_Status
    CEMNetworkDNSProxyDeclaration
    CEMNetworkDNSProxyDeclaration_Status
    CEMNetworkDirectoryServiceDeclaration
    CEMNetworkDirectoryServiceDeclaration_Status
    CEMNetworkDomainsDeclaration
    CEMNetworkDomainsDeclaration_Status
    CEMNetworkGlobalHTTPProxyDeclaration
    CEMNetworkGlobalHTTPProxyDeclaration_Status
    CEMNetworkHostNameDeclaration
    CEMNetworkHostNameDeclaration_Status
    CEMNetworkSettingsDeclaration
    CEMNetworkSettingsDeclaration_Status
    CEMNetworkUsageRulesDeclaration
    CEMNetworkUsageRulesDeclaration_ApplicationRulesItem
    CEMNetworkUsageRulesDeclaration_Status
    CEMNetworkVPNAppLayerDeclaration
    CEMNetworkVPNAppLayerDeclaration_Status
    CEMNetworkVPNAppToAppLayerMappingDeclaration
    CEMNetworkVPNAppToAppLayerMappingDeclaration_AppLayerVPNMappingItem
    CEMNetworkVPNAppToAppLayerMappingDeclaration_Status
    CEMNetworkVPNDeclaration
    CEMNetworkVPNDeclaration_AlwaysOn
    CEMNetworkVPNDeclaration_AlwaysOnAllowedCaptiveNetworkPlugin
    CEMNetworkVPNDeclaration_AlwaysOnServiceException
    CEMNetworkVPNDeclaration_AlwaysOnTunnelConfiguration
    CEMNetworkVPNDeclaration_DNS
    CEMNetworkVPNDeclaration_IKEv2
    CEMNetworkVPNDeclaration_IPSec
    CEMNetworkVPNDeclaration_IPv4
    CEMNetworkVPNDeclaration_OnDemandRulesElement
    CEMNetworkVPNDeclaration_OnDemandRulesElementActionParameters
    CEMNetworkVPNDeclaration_PPP
    CEMNetworkVPNDeclaration_Proxies
    CEMNetworkVPNDeclaration_SecurityAssociationParameters
    CEMNetworkVPNDeclaration_Status
    CEMNetworkVPNDeclaration_VPN
    CEMNetworkVPNDeclaration_VendorConfig
    CEMNetworkWiFiDeclaration
    CEMNetworkWiFiDeclaration_EAPClientConfiguration
    CEMNetworkWiFiDeclaration_QoSMarkingPolicy
    CEMNetworkWiFiDeclaration_Status
    CEMPasscodeRequestUnlockTokenCommand
    CEMPasscodeRequestUnlockTokenCommand_Status
    CEMPasscodeSetFirmwarePasswordCommand
    CEMPasscodeSetFirmwarePasswordCommand_Status
    CEMPasscodeVerifyFirmwarePasswordCommand
    CEMPasscodeVerifyFirmwarePasswordCommand_Status
    CEMSecurityInformationCommand_StatusSecurityInfoFirmwarePasswordStatus
    CEMSecuritySingleSignOnDeclaration
    CEMSecuritySingleSignOnDeclaration_Kerberos
    CEMSecuritySingleSignOnDeclaration_Status
    CFNetworkTimer
    CHEncoderDecoderNetwork
    CHJapaneseTokenizationAndConversionStep
    CHMutableTokenizedMathResultToken
    CHMutableTokenizedResultColumn
    CHMutableTokenizedTextResult
    CHMutableTokenizedTextResultToken
    CHPatternNetwork
    CHPostprocessingStepModifyingOriginalTokens
    CHRecognitionInsightRequest
    CHRecurrentNeuralNetwork
    CHRecurrentNeuralNetworkCoreML
    CHReflowableSynthesisResultToken
    CHReflowableTextResultToken
    CHReflowableTextToken
    CHRemoteDocumentLayoutAnalysisRequest
    CHRemoteInventoryContentCheckRequest
    CHRemoteInventoryRequest
    CHRemoteLineWrappingRequest
    CHRemotePowerLoggingInferenceRequest
    CHRemotePowerLoggingLoadingRequest
    CHRemotePowerLoggingRequest
    CHRemotePowerLoggingUnloadingRequest
    CHRemoteRecognitionMathRequest
    CHRemoteRecognitionRequest
    CHRemoteRecognitionSketchRequest
    CHRemoteRecognitionTextRequest
    CHRemoteSynthesisRequest
    CHRemoteSynthesisStringChunkingRequest
    CHSDescriptorEnablementChangeRequest
    CHSPlaceholderRequest
    CHSReaperRequest
    CHSTimelineReloadRequest
    CHSURLSessionToken
    CHSemanticTokenizerStep
    CHSynthesisRequestConcreteHandler
    CHSynthesisRequestOptions
    CHTokenizedMathResult
    CHTokenizedMathResultToken
    CHTokenizedResult
    CHTokenizedResultColumn
    CHTokenizedResultToken
    CHTokenizedStrokeResult
    CHTokenizedTextResult
    CHTokenizedTextResultToken
    CHUpdateTokenPropertyForUnitConversionStep
    CHUpdateTokenPropertyForVariableAssignmentStep
    CIFourfoldRotatedTile
    CIPerspectiveRotate
    CISignedDistanceGradientFromRedMask
    CISixfoldRotatedTile
    CKAssetUploadRequestMetadata
    CKCBCorecryptoECPoint
    CKCBCorecryptoECScalar
    CKContextRequest
    CKDCancelToken
    CKDPOneTimeFullTokenInfo
    CKDURLRequestLifecycleAction
    CKDeviceToDeviceShareInvitationToken
    CKFetchUserQuotaOperation
    CKFetchWebAuthTokenOperation
    CKFetchWebAuthTokenOperationInfo
    CKOperationMMCSRequestOptions
    CKPackageUploadRequestMetadata
    CKReplaceDeltasRequest
    CKRequestAssetOperation
    CKRequestInfo
    CKSQLiteTOCImageInfoTable
    CKServerChangeToken
    CKShareAccessRequestOperation
    CKShareAccessRequester
    CKShareRequestAccessOperation
    CKShareRequestAccessOperationInfo
    CKSignatureGenerator
    CKSignificantIssue
    CKSignificantIssueHandler
    CKSignpost
    CKTapToRadarRequest
    CKTestRequestProperties
    CKUploadRequestConfiguration
    CKUploadRequestManager
    CKUploadRequestManagerInternals
    CKUploadRequestManagerResponseActionThrottler
    CKUploadRequestManagerResponseActionThrottlerMetadata
    CKUploadRequestManagerStateMachine
    CKUploadRequestMetadata
    CKUploadRequestPersistentStore
    CLEEDCryptoUtilities
    CLEEDFeedbackRequest
    CLEEDRequest
    CLEEDRequestHelper
    CLEEDStreamingRequest
    CLEEDUploadRequest
    CLFindMyAccessoryFirmwareUpdateManager
    CLFindMyAccessoryFirmwareVersion
    CLKClockTimerToken
    CLSAdminRequest
    CLSAdminRequestAccount
    CLSAdminRequestor
    CLSAssetProcessedSignals
    CLSAssetProcessedSignals_v1
    CLSAssetProcessedSignals_v3
    CLSAssetProcessedSignals_v4
    CLSAssetProcessedSignals_v5
    CLSHandoutAssignedItem
    CLSSignalNode
    CLSTaxonomyBasedSignalNode
    CLSensorRecorderSensorDataRequestById
    CLSensorRecorderSensorMetaRequestByDateRange
    CLSensorRecorderSensorMetaRequestById
    CMCardioToken
    CMHistoricalFetchToken
    CMIInferenceNetworkEspressoV1
    CMIInferenceNetworkEspressoV2
    CMIInferenceNetworkIOPortEspressoV1
    CMIInferenceNetworkIOPortEspressoV2
    CMIInferenceNetworkInstanceBindingEspressoV1
    CMIInferenceNetworkInstanceEspressoV1
    CMIInferenceNetworkInstanceEspressoV2
    CMITiledInferenceProcessorNetworkConfig
    CMITiledInferenceProcessorNetworkImpl
    CMLNetworkManager
    CMMobilityToken
    CMNetworkActivityMonitor
    CMNetworkActivityObserver
    CMRecordedRotationRateData
    CMRotationRateData
    CMRotationRateDataInternal
    CMSignificantElevationSample
    CNAccountSyncRequest
    CNAtomicUnsignedIntegerGenerator
    CNAuditToken
    CNAuditTokenUtilities
    CNAutocompleteFetchRequest
    CNAutocompleteInputStringTokenizer
    CNAutocompleteNetworkActivityPolicy
    CNAutocompleteNetworkActivityThrottlingPolicy
    CNAutocompleteResultTokenMatcher
    CNAutocompleteSuggestionsViewSectionHeader
    CNAutocompleteTokenMatcher
    CNAvatarCardHeaderView
    CNCallProvidersChangedCancelationToken
    CNCancelationToken
    CNChangeHistoryClearRequest
    CNChangeHistoryFetchRequest
    CNCollationHeaderSection
    CNComposeHeaderLabelView
    CNComposeHeaderView
    CNConcatenateCancelationToken
    CNContactChangeRequest
    CNContactFetchRequest
    CNContactFetchRequestEffectiveKeyExtender
    CNContactFetchRequestExecutor
    CNContactFetchRequestExecutorPredicateEvaluator
    CNContactHeaderCollapsedView
    CNContactHeaderDisplayView
    CNContactHeaderEditView
    CNContactHeaderStaticDisplayView
    CNContactHeaderView
    CNContactHeaderViewSizeAttributes
    CNContactImageCreateRequest
    CNContactImageDeleteRequest
    CNContactImageFetchRequest
    CNContactImageSaveRequest
    CNContactImageUpdateRequest
    CNContactListHeaderView
    CNContactListSectionHeaderFooterView
    CNContactOrbHeaderView
    CNContactOrbHeaderViewController
    CNContactPosterCreateRequest
    CNContactPosterDataChangeRequest
    CNContactPosterDataChangeRequestClassifier
    CNContactPosterDataCreateRequest
    CNContactPosterDataDeleteRequest
    CNContactPosterDataFetchRequest
    CNContactPosterDataRequest
    CNContactPosterDataUpdateRequest
    CNContactPosterDeleteRequest
    CNContactPosterFetchRequest
    CNContactPosterUpdateRequest
    CNContactSuggestionsViewSectionHeader
    CNContactTableViewHeaderFooterView
    CNCoreRecentsSaveRequest
    CNDelayCancelationToken
    CNDelaySubscriptionCancelationToken
    CNDematerializeCancelationToken
    CNDonationExtensionRequestHandler
    CNEnumerateObjectsUsingBlockCancelationToken
    CNFetchRequest
    CNFlatMapSubscribeCancelationToken
    CNFlatMapSubscribeInnerObservableCancelationToken
    CNGroupIdentityHeaderContainerView
    CNGroupIdentityHeaderViewController
    CNImmediateSchedulerCancelationToken
    CNIndexRequestHandler
    CNInlineSchedulerCancelationToken
    CNLocalAccountSyncRequest
    CNMainQueueSchedulerCancelationToken
    CNMainRunLoopSchedulerCancelationToken
    CNMeCardSharingHeaderViewController
    CNMeCardSharingOnboardingHeaderViewController
    CNMeCardSharingSettingsHeaderViewController
    CNNameComponentsStringTokenizer
    CNNameStringTokenizer
    CNObservableWithErrorCancelationToken
    CNObservableWithFutureCancelationToken
    CNObservableWithResultCancelationToken
    CNObserveOnCancelationToken
    CNOperationQueueSchedulerCancelationToken
    CNPRUISPosterSnapshotRequest
    CNPhotoPickerHeaderButton
    CNPhotoPickerHeaderView
    CNPhotoPickerHeaderViewTextField
    CNPhotoPickerSectionHeader
    CNPostalAddressStringTokenizer
    CNPropertyIDSRequest
    CNQueueSchedulerCancelationToken
    CNSaveRequest
    CNSaveRequestContactIdentifierCollector
    CNSaveRequestVerifier
    CNSaveRequestVisitationTask
    CNSharingProfileOnboardingHeaderView
    CNStarkContactListSectionHeaderView
    CNStarkHeaderPlatterView
    CNStringTokenizer
    CNSuggestedSaveRequest
    CNSwitchWithSchedulerProviderCancelationToken
    CNSwitchWithSchedulerProviderOuterCancelationToken
